url,parenturl,depth
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS60000104,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS70000105,54
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRU0000094,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS20000097,59
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQw0000026,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQy0000031,87
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDO00000173,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDO90000175,105
http://www.chcedo.com/product/productdetail.htm?pid=15218FRMS0003217&categorytType=1,http://www.chcedo.com/makeup/productList_102004.htm,9
http://www.chcedo.com/product/productdetail.htm?pid=15218FRNK0004104,http://www.chcedo.com/product/productdetail.htm?pid=15217JGNH0006004,19
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQD0000033,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQE0000035,25
http://www.chcedo.com/product/productdetail.htm?pid=11717GHOu0000150,http://www.chcedo.com/beauty/beautyVideoDetail.htm?vid=15218CEKy1641493,16
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSN0000150,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSN0000151,40
http://www.chcedo.com/topic/topicPage.htm?urlInfo=ximalaya.html,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQ90000033,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQ70000028,11
http://www.chcedo.com/skin/productList_100001008.htm,http://www.chcedo.com/skin/skinIndex.htm,7
http://www.chcedo.com/product/productdetail.htm?pid=15218BQQK0990581,http://www.chcedo.com/skin/productList_100001005.htm,8
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQT0000099,http://www.chcedo.com,2
http://www.chcedo.com/product/productdetail.htm?pid=15218FRO70004334,http://www.chcedo.com/product/productdetail.htm?pid=15218FRNK0004104,20
http://www.chcedo.com/mask/productList_101001004.htm,http://www.chcedo.com/mask/maskIndex.htm,5
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQU0000058,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQV0000059,90
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSV0000160,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSw0000127,121
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSU0000159,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSV0000160,122
http://www.chcedo.com/product/productdetail.htm?pid=11717GFPO0000008,http://www.chcedo.com/skin/productList_100001007.htm,8
http://www.chcedo.com/product/productdetail.htm?pid=15218FROz0004763,http://www.chcedo.com/product/productdetail.htm?pid=15218FRNs0003809,26
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRC0000080,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRD0000081,71
http://www.chcedo.com/article/articleDetail.htm?aid=11717GDOb0000176,http://www.chcedo.com/article/articleDetail.htm?aid=11717GDOc0000177,103
http://www.chcedo.com/topic/topicPage.htm?urlInfo=ningshixianliang.html,http://www.chcedo.com/activity/activityIndex.htm,12
